titre,contenu_nettoye,categorie
Guiriko : Le nouvel an traditionnel célébré comme un facteur de cohésion sociale et de préservation des valeurs ancestrales,"Guiriko : Le nouvel an traditionnel célébré comme un facteur de cohésion sociale et de préservation des valeurs ancestrales
Bobo-Dioulasso, 8 juil. 2026 (AIB) – La célébration du nouvel an traditionnel de la communauté bobo-mandarè a pris fin le samedi 04 juillet 2026 dans le village-quartier fondateur Sya par une cérémonie de clôture placée sous le patronage du ministre en charge de la culture. A l’occasion le parrain Ibrahim Sanon, PDG de Sya Mines et Carrières, a salué le rôle de cette manifestation culturelle dans la préservation des valeurs ancestrales et le renforcement de l’unité au sein de la communauté bobo-mandarê et du Burkina Faso.
Le camarade Ibrahim Sanon s’exprimant également au nom du co-parrain Mamadou Sanou, DG de Coris Bank Afrique Centrale, a félicité la communauté bobo-mandarê ainsi que le collectif Lamogoya de Sya (organisateur) pour leur engagement en faveur de la transmission de ce patrimoine culturel.
A cet effet, il a indiqué que le Djombèlè qui marque le nouvel an traditionnel au sein de la communauté bobo-mandarê, constitue un cadre privilégié de dialogue, d’éducation, de transmission des valeurs culturelles et de promotion du vivre ensemble. Le début du nouvel an traditionnel dans la communauté bobo-mandarê correspondant cette année, à la nuit du mercredi 24 au jeudi 25 juin 2026 du calendrier grégorien.
Le thème retenu pour la célébration de cette nouvelle année, « Rôles et places du Djombèlè dans la communauté bobo mandarè », a conduit à des réflexions sur la transmission des savoirs, la consolidation de la paix et la nécessité de préserver et valoriser le patrimoine culturel.
Le parrain a lancé un appel aux autorités communales et nationales pour un meilleur accompagnement financier et institutionnel de la tradition, demandant notamment l’ouverture d’une ligne budgétaire dédiée au Djombèlè au niveau communal.
Le premier vice-président de la délégation spéciale (PDS) de la commune de Bobo-Dioulasso, le camarade Moussa Sanon, représentant le PDS de la commune de Bobo-Dioulasso, le camarade Laurent Kontogom a promis une implication accrue de l’administration communale dans les prochaines éditions de cette célébration, qu’il considère comme un événement majeur pour la capitale culturelle du Burkina Faso.
Pour le président du comité d’organisation Sidiki Sanou, la réussite de l’édition 2026 est due à la mobilisation des anciens, des femmes et des jeunes, dont l’implication a permis le bon déroulement des conférences et des animations culturelles.
Selon lui, les anciens, gardiens des traditions, ont apporté leur sagesse et leurs bénédictions, tandis que les femmes ont joué un rôle déterminant dans l’organisation matérielle et rituelle des festivités. Les jeunes, quant à eux, ont assuré l’animation et la mobilisation autour des différentes activités.
Sidiki Sanou a également exprimé sa gratitude aux parrains de l’événement, au ministre de la Communication, de la Culture, des Arts et du Tourisme Pingdwendé Gilbert Ouédraogo, ainsi qu’aux autorités communales de Bobo-Dioulasso pour leur accompagnement. Il a souhaité que le Djombèlè continue de promouvoir la cohésion sociale et de faire rayonner les valeurs culturelles de la communauté bobo-mandarê et du Burkina Faso.
Les organisateurs ont enfin renouvelé leur vœu de voir la cohésion sociale et la culture demeurer « l’arme » et la « boussole » du Burkina Faso. Vive la tradition, vive l’unité, vive le Burkina Faso, ont-ils conclu.
Agence d’Information du Burkina
OSAR/wis",Culture
Guiriko/Nouvel an traditionnel : Le vice PDS de Bobo-Dioulasso invite les populations à perpétuer cet hérita,"Guiriko/Nouvel an traditionnel : Le vice PDS de Bobo-Dioulasso invite les populations à perpétuer cet héritage culturel millénaire
Bobo-Dioulasso, 8 juil. 2026 (AIB) – La cérémonie de clôture de la célébration du nouvel an traditionnel de la communauté bobo-mandarê a été présidé le samedi 04 juillet 2026 dans le village-quartier fondateur Sya, par le premier vice-président de la délégation spéciale (PDS) de la commune de Bobo-Dioulasso, le camarade Moussa Sanou. Il a invité les populations à perpétuer cet héritage culturel millénaire dans la capitale culturelle du Burkina Faso.
Le premier vice-président de la délégation spéciale de la commune de Bobo-Dioulasso, le camarade Moussa Sanon a représenté le président de la délégation spéciale de la commune de Bobo-Dioulasso, le camarade Laurent Kontogom, le samedi 4 juillet 2026, à la cérémonie de clôture de la célébration du Djombèlè qui constitue le Nouvel an traditionnel de la communauté bobo-mandarê.
La communauté bobo-mandarê est entrée dans une nouvelle année selon le calendrier africain qui correspond à la nuit du mercredi 24 au jeudi 25 juin 2026 du calendrier grégorien. La cérémonie de clôture de la célébration de l’événement a été placée sous le patronage du ministre de la Communication, de la Culture, des Arts et du Tourisme Pingdwendé Gilbert Ouédraogo.
A l’occasion, le camarade Sanon a invité les ressortissants de la ville de Bobo-Dioulasso, où qu’ils se trouvent, à revenir célébrer chaque année, le Djombèlè, avec leurs familles afin de perpétuer cet héritage culturel millénaire puis il a rendu un vibrant hommage aux anciens, aux mères et aux griots pour leur rôle dans la transmission des savoirs, des valeurs et de l’histoire du peuple bobo-mandarê et de Bobo-Dioulasso.
Le premier vice PDS, a salué la perpétuation de la célébration du nouvel an traditionnel depuis des siècles par le peuple bobo-mandarê, estimant qu’« aucun pays ne peut véritablement prospérer sans sa culture ». Il a rappelé que nos coutumes et nos traditions jouent un rôle essentiel dans le développement de notre pays.
A cet effet, il a promis au nom du président de la délégation spéciale de la commune de Bobo-Dioulasso, le camarade Laurent Kontogom, une implication accrue de l’administration communale dans les prochaines éditions de cette célébration, qu’il considère comme un événement majeur pour la ville de Bobo-Dioulasso.
S’exprimant à cette occasion, la porte-parole des femmes bobo-mandarê, la camarade Ève Sanon, a affirmé que le Djombèlè est célébré chaque année à Bobo-Dioulasso principalement à Dioulassobâ et marque ainsi le Nouvel an traditionnel en pays bobo.
Selon elle, cette célébration est dédiée à la mémoire des personnes décédées au cours de l’année écoulée et constitue également un moment de retrouvailles familiales, réunissant les fils et filles de Bobo-Dioulasso vivant à l’intérieur comme à l’extérieur du pays.
La porte-parole a indiqué que durant la célébration, les familles procèdent, dans la matinée, à l’abattage d’un bœuf en hommage aux défunts avant de partager un repas collectif dans un même plat, symbole de fraternité et de cohésion sociale.
La célébration, a-t-elle poursuivi, continue dans la nuit avec un carnaval traditionnel animé par les jeunes. À travers des chants, ces derniers dénoncent publiquement certains comportements jugés contraires aux valeurs sociales, notamment le vol, le mensonge ou l’adultère jusqu’au petit matin, moment où le carnaval s’achève.
Au lever du jour qui marque, le début de la nouvelle année, les chants ne doivent plus faire l’objet de rancune, conformément aux valeurs de pardon et de réconciliation qui fondent cette tradition.
La camarade Sanon a souligné que les festivités se prolongent durant une semaine avec des animations conduites par les jeunes filles, vêtues de leurs plus belles parures dans plusieurs lieux emblématiques de la ville, notamment le gouvernorat, la mairie et les services administratifs.
Pour clore ses propos, la porte-parole des femmes bobo-mandarê, la camarade Ève Sanon, a formulé des prières pour la paix et la cohésion sociale au Burkina Faso ainsi que pour la longévité et la santé au Président du Faso, le Camarade Capitaine Ibrahim Traoré. Elle a également invoqué la protection divine sur le Burkina Faso, les forces combattantes ainsi que sur tous ceux qui œuvrent pour le développement du pays.
Agence d’Information du Burkina
GF/wis",Culture
Coopération : les Chefs de diplomatie des pays de l’AES et de la Russie saluent à Niamey la qualité de leur coopération,"Coopération : les Chefs de diplomatie des pays de l’AES et de la Russie saluent à Niamey la qualité de leur coopération
Niamey, 08 Juillet (ANP)- Les ministres en charge de la diplomatie et des relations internationales des pays de la confédération de l’Alliance des États du Sahel (AES, à savoir le Niger, le Burkina et le Mali) et celui de la fédération de Russie ont salué, ce mercredi 08 Juillet 2026, à Niamey, la coopération qu’entretiennent les deux parties, une coopération dominée par le partenariat sur le plan sécuritaire et la lutte contre le terrorisme au Sahel.
Ces réjouissances ont été manifestées lors de la 2ème session des consultations entre les quatre chefs de diplomatie qu’abrite Niamey, la capitale nigérienne.
« Après la tenue de la première session de consultations entre les ministres des Affaires étrangères de la Confédération AES et de la Fédération de Russie, de 3 et 4 du 25 mars, nous voici aujourd’hui, réunis pour la deuxième session de nos consultations en vue de consolider le partenariat stratégique qui existe entre l’AES et la Russie », a déclaré Yaou Sangaré, le Ministre des affaires étrangères et de la coopération du Niger.
Selon l’officiel nigérien, « Cette rencontre de haute portée politique et diplomatique est la traduction parfaite de notre volonté commune d’œuvrer ensemble à l’avènement d’un ordre mondial plus juste, plus équitable ».
Yaou Sangaré d’ajouter « On est sous les valeurs de la paix, de sécurité et de développement, ainsi que sous le respect de la souveraineté et des principes fondamentaux du droit international ».
Selon le diplomate en chef du Niger, la présente rencontre leur donne l’occasion de faire le bilan de la mise en œuvre des décisions prises lors des premières consultations, mais également de se projeter dans les futures actions à mener en vue du renforcement de notre partenariat stratégique.
« S’agissant de la mise en œuvre de nos décisions, le bilan devait être satisfaisant dans plusieurs domaines notamment militaires, avec la signature de plusieurs instruments, le renforcement de nos capacités de défense et de sécurité pour lutter contre le terrorisme et la réalisation de nombreux projets sociaux, ainsi que de visites officielles de haut niveau », a déclaré l’hôte de la rencontre.
« C’est pour dire que la Fédération de Russie demeure le principal allié de la Confédération AES dans le domaine de la lutte contre le terrorisme au Sahel », a-t-il soutenu, avant d’évoquer les perspectives envisagées.
Sur ce point, a souligné le membre du Gouvernement du Niger « il s’agira de réfléchir, entre autres, sur l’autonomisation à moyen terme de nos forces de défense et de sécurité, une meilleure surveillance de nos frontières et la mise en valeur de nos nombreuses ressources naturelles ».
Dans cette optique, a-t-il développé, « les différentes réunions préparatoires des experts AES Russie tenues en ligne et en présentiel ont permis d’aboutir à des documents de travail de haute qualité qui sont soumis à notre appréciation ».
Présent à la rencontre, le Ministre des affaires étrangères du Burkina Faso, affirmé : « le plan de consultation opérationnel qui nous est proposé ainsi que d’autres instruments sont de véritables outils d’organisation, d’orientation et de monitoring de notre action diplomatique dans les secteurs mutuellement bénéfiques ».
M. Karamoko Jean-Marie Traoré a noté que « la qualité d’un partenariat stratégique peut se mesurer à la convergence des positions diplomatiques, elle se mesure surtout à sa capacité à produire des résultats concrets qui améliorent durablement la vie des populations et c’est précisément l’ambition que portent aujourd’hui la Confédération des États du Sahel et la Fédération de Russie et c’est tout le sens également de la présente réunion ».
Pour le Malien Abdoulaye Diop : « Loin de céder aux pressions internationales et aux narratifs biaisés véhiculés par certains États et relayés par des médias poursuivant un agenda politique, la Fédération de Russie a su maintenir une lecture lucide et pragmatique de la situation dans le Sahel ».
« Nos échanges réguliers et constructifs ont d’ailleurs permis d’aller au-delà de notre coopération sécuritaire qui se porte très bien pour aborder avec succès un partenariat fructueux dans le domaine du développement économique et commercial, adossé à une vision diplomatique convergente », a-t-il soutenu.
Selon lui « le partenariat que nous entretenons avec la Fédération de Russie illustre ainsi de manière éloquente le potentiel de la Confédération des États du Sahel, mais aussi son dynamisme à prendre toute sa place dans le concert des nations ».
Dans son intervention, le Ministre des affaires étrangères de la Russie, M. Sergueï Lavrov a indiqué que « ces consultations (…) nous permettront de tracer les voies de soutien les processus d’intégrations et les objectifs en matière de sécurité ».
Poursuivant son speech, l’émissaire de Moscou a déclaré : « Nous sommes unis par la coopération de la nécessité de former un ordre mondial multipolaire juste et de travail conjoint contre les pratiques néocolonialistes qui sont assez vivantes ».
« Nous comptons que la coopération entre la Russie et l’AES donnera un élan additionnel au renforcement de la souveraineté de nos États et largement de nos relations bilatérales et des relations sous format multilatéral », a-t-il souhaité.
La coopération entre la Russie et la Confédération des États du Sahel (AES), note–ton, s’articule autour d’un partenariat stratégique, sécuritaire et diplomatique.
Elle se structure à travers des consultations régulières de haut niveau, visant à consolider la souveraineté des pays sahéliens, comme l’illustre cette seconde session des consultations ministérielles qui se tient à Niamey entre le chef de la diplomatie russe Sergueï Lavrov et ses homologues de l’AES.
MSB/AS/ANP 082 Juillet 2026",Politique
Houet : un jeune couturier poursuivi pour avoir frappé une mineure avec un fil électrique,"Houet : un jeune couturier poursuivi pour avoir frappé une mineure avec un fil électrique
Bobo-Dioulasso, 8 juil. 2026 (AIB) – Le tribunal correctionnel de Bobo-Dioulasso a examiné le mardi 7 juillet 2026 une affaire de coups et blessures volontaires mettant en cause S.Y, un couturier âgé de 22 ans. Il est poursuivi par le ministère public pour avoir volontairement porté des coups à une fille mineure, S.S., lui occasionnant des blessures.
Selon les faits exposés à l’audience, les événements datent du 31 mai 2026. Le procureur reproche au prévenu d’avoir frappé la jeune fille à l’aide d’un fil électrique, après une altercation. À la suite de cet incident, une bagarre aurait éclaté entre S.Y. et les parents de la victime. L’altercation se serait poursuivie par des échanges d’injures, le prévenu ayant également proféré des menaces à l’encontre des parents de la fillette.
À la barre, S.Y. a reconnu les faits. Il a expliqué être locataire d’un magasin de couture situé devant une cour commune où se trouvent les toilettes utilisées par les occupants.
« J’ai loué un magasin devant une cour pour faire la couture. Les toilettes se trouvent dans la cour. Un jour, je suis rentré et S.S. avait bloqué la porte des toilettes. Je n’ai rien dit. Une autre fois, elle a recommencé. Je l’ai menacée, elle m’a insulté et je l’ai frappée avec un fil électrique », a-t-il déclaré devant le tribunal.
Le prévenu a également affirmé que ce différend s’inscrivait dans un contexte de tensions persistantes avec certains habitants de la cour. Selon ses dires, la mineure et d’autres habitants de la cour avaient auparavant sectionné les fils de son compteur électrique. Interrogé sur son geste, S.Y. a reconnu avoir agi sous l’effet de la colère. « J’étais énervé quand elle m’a provoqué », a-t-il expliqué.
Constitué partie civile, le père de la victime a indiqué que les soins administrés à sa fille lui avaient coûté 52 000 F CFA. Il a demandé au tribunal de condamner le prévenu au remboursement de cette somme au titre des frais médicaux.
Dans ses réquisitions, le procureur du Faso a dénoncé le comportement du prévenu, estimant que rien ne pouvait justifier des violences exercées sur une mineure. Il a requis une peine de 12 mois d’emprisonnement ainsi qu’une amende de 600 000 F CFA, le tout ferme. Après les débats, le tribunal a mis l’affaire en délibéré pour le 21 juillet 2026.
Agence d’information du Burkina
BD/wis",Société
Bobo-Dioulasso : des entrepreneurs culturels formés aux outils numériques et à l’intelligence artificielle,"Bobo-Dioulasso : des entrepreneurs culturels formés aux outils numériques et à l’intelligence artificielle
Bobo-Dioulasso, 8 juil. 2026 (AIB) – Le directeur régional de la Communication, de la Culture, des Arts et du Tourisme du Guiriko, Boukary Malgoubri, a procédé ce mercredi matin à Bobo-Dioulasso, à l’ouverture d’une session de formation aux outils numériques et à l’intelligence artificielle au profit des entrepreneurs culturels.
Cette formation aux outils numériques et à l’intelligence artificielle au profit des entrepreneurs culturels se tient en prélude aux Journées de promotion des industries créatives (JPIC) prévues à la fin du mois.
Selon Boukary Malgoubri, elle s’inscrit dans le cadre du renforcement des capacités des acteurs culturels afin de leur permettre de mieux s’approprier les évolutions du secteur et de demeurer compétitifs dans un environnement culturel en constante mutation, aux plans national et international.
Pour le directeur des arts et des industries culturelles à la Direction générale de la culture et des arts Yaya Soura, cette initiative s’inscrit dans la continuité des activités de renforcement des capacités menées depuis mars dernier.
Les formations au profit des entrepreneurs culturels se font depuis 2013. La présente session qui constitue la 10e édition met un accent particulier sur l’intelligence artificielle appliquée aux industries créatives, afin d’aider les acteurs culturels à s’adapter aux mutations du numérique.
Au total, 45 jeunes porteurs de projets, sélectionnés sur la base de leurs initiatives entrepreneuriales, bénéficieront de trois jours de formation à Bobo-Dioulasso, avant la tenue de sessions similaires à Koudougou et à Tenkodogo.
Les modules portent sur le marketing et la gestion digitale, la comptabilité simplifiée, ainsi que sur l’usage de l’intelligence artificielle générative dans la création et la production artistique et culturelle.
Pour Yaya Soura, l’objectif est de doter les participants d’outils leur permettant d’améliorer la gestion, la production et la commercialisation de leurs œuvres et services culturels.
Les acquis de ces formations seront valorisés lors de la 10e édition des JPIC, prévue les 24 et 25 juillet 2026 au Musée national à Ouagadougou.
Agence d’Information du Burkina
OSAR/GO/wis",Éducation
"Koulpélogo : Le CPGE mobilise les acteurs pour barrer la route aux épidémies  Ouargaye, 8 juil. 2026 (AIB) – Le haut-commissaire de la province du Koulpélogo, Saïdou Ouédraogo, a présidé, le mardi 7 juillet 2026 à Ouargaye, la deuxième session ordinaire de l’année du Comité provincial de gestion des épidémies (CPGE). Cette rencontre a réuni les acteurs de la santé et leurs partenaires autour de la situation épidémiologique de la province et des stratégies à mettre en œuvre pour renforc","Koulpélogo : Le CPGE mobilise les acteurs pour barrer la route aux épidémies
Ouargaye, 8 juil. 2026 (AIB) – Le haut-commissaire de la province du Koulpélogo, Saïdou Ouédraogo, a présidé, le mardi 7 juillet 2026 à Ouargaye, la deuxième session ordinaire de l’année du Comité provincial de gestion des épidémies (CPGE). Cette rencontre a réuni les acteurs de la santé et leurs partenaires autour de la situation épidémiologique de la province et des stratégies à mettre en œuvre pour renforcer la prévention et la riposte contre les maladies à potentiel épidémique.
Le haut-commissaire, Saïdou Ouédraogo a salué la mobilisation des membres du comité et leur engagement dans la protection sanitaire des populations. Il a rappelé que le CPGE constitue un cadre permanent de concertation permettant aux différents acteurs d’analyser les risques sanitaires, d’anticiper les menaces et de coordonner efficacement les interventions.
Le Haut-Commissaire a invité l’ensemble des acteurs à maintenir une vigilance accrue et à renforcer la collaboration entre les services techniques, les collectivités territoriales, les forces de défense et de sécurité, les leaders communautaires et les partenaires.
Au cours de la session, le Médecin-chef du district sanitaire de Ouargaye, Dr Morou Nikiema, accompagné de son équipe, a animé plusieurs communications. La première a porté sur la situation épidémiologique du premier semestre 2026.
Dr Morou Nikiema a indiqué que des cas de rougeole sont actuellement notifiés dans la commune de Cinkansé. Pour contenir la propagation de la maladie, une campagne de vaccination réactive contre la rougeole-rubéole est prévue du 8 au 14 juillet 2026 afin d’interrompre la chaîne de transmission.
Le responsable sanitaire a toutefois rassuré les participants qu’en dehors de cette situation, aucune autre menace majeure de santé publique n’a été enregistrée ces dernières semaines dans le district sanitaire.
Il a également salué l’engagement des acteurs dans la surveillance épidémiologique, qui a permis de signaler à temps trois événements inhabituels de santé publique depuis le début de l’année. Ces alertes ont fait l’objet d’investigations rapides et de mesures de riposte appropriées grâce à l’approche multisectorielle.
La deuxième communication a été consacrée à la maladie à virus Ebola. Le communicateur a présenté la situation épidémiologique dans certains pays comme la République démocratique du Congo et attiré l’attention des participants sur le risque d’importation de cette maladie dans certains pays, du fait des déplacements fréquents des peuples, notamment des jeunes.
Il a fait référence au Koulpélogo qui est une province frontalière et a invité les communautés à signaler sans délai tout cas suspect ou tout événement inhabituel de santé publique aux services compétents afin de permettre une intervention rapide.
Les échanges ont également porté sur le paludisme, la dengue, les mesures d’hygiène et d’assainissement ainsi que les mécanismes de renforcement de la surveillance communautaire.
À l’issue des travaux, les participants ont recommandé une implication plus forte des communautés dans le signalement précoce des événements inhabituels de santé publique.
Agence d’information du Burkina
BP/yos",Santé
Nahouri : Plus de 1 600 cartouches de cigarettes et une importante quantité de drogue à haut risque incinérées,"BURKINA -NAHOURI- INSECURITE
Nahouri : Plus de 1 600 cartouches de cigarettes et une importante quantité de drogue à haut risque incinérées
Pô, 8 juil. 2026 (AIB)-Le Tribunal de grande instance (TGI) de Pô a incinéré ce mercredi 08 juillet 2026 à Pô, dans la province du Nahouri, plus de 1600 cartouches de cigarettes et une importante quantité de drogue à haut risque.
Plus de 1600 cartouches de cigarettes et une importante quantité de drogue à haut risque ont été incinérées par le Tribunal de grande instance (TGI) de Pô ce mercredi 08 juillet 2026.
Le procureur du Faso, près le tribunal de grande instance de Pô, Arsène Gaëtan Bansé, a félicité les Forces de défense et de sécurité (FDS) pour ce combat quotidien contre ces fléaux qui gangrènent la société.
Il a indiqué que cette importante saisie est le fruit de lutte de plusieurs unités des services de la sécurité de la province.
M. Bansé a également souligné qu’une personne impliquée dans les faits de cession de drogue et ayant fait l’objet de composition pénale et condamnée à des travaux d’intérêt général, a été associée à cette activité pour purger sa peine.
Il a indiqué qu’elle poursuivra sa peine au tribunal en effectuant des travaux d’intérêt général dans la cour du TGI.
Le procureur du Faso a rappelé que « l’importation et la commercialisation de ces produits sont interdites et ceux qui s’adonnent à cette pratique s’exposent à des poursuites judiciaires ».
Arsène Gaëtan Bansé, a invité la population à collaborer avec les FDS « afin de barrer la route à ces fléaux ».
Aux parents, le procureur Bansé les a invités à éduquer les enfants de façon responsable notamment en ce qui concerne les infractions en matière de drogue et l’importation des produits illicites.
Agence d’information du Burkina
HKO/HB/OO",Sécurité
Sourou/Certificat de qualification professionnelle: La spécialité tissage enregistre un taux de réussite de 100 %,"BURKINA-SOUROU-RESULTATS-EXAMENS-CQP
Sourou/Certificat de qualification professionnelle: La spécialité tissage enregistre un taux de réussite de 100 %
Tougan, 8 juil. 2026 (AIB) – La province du Sourou a enregistré un taux global de réussite de 75,47 % au Certificat de qualification professionnelle (CQP) 2026, avec une performance remarquable de 100 % dans la spécialité tissage, à l’issue de la proclamation des résultats, le mardi 7 juillet 2026 à Tougan. Les résultats ont été proclamés au Centre provincial de formation professionnelle Burkina Suudu Bawdè (BSB) de Tougan.
Sur les 159 candidats ayant effectivement composé dans les spécialités tissage, couture et coiffure dame, 120 ont été admis, soit un taux global de réussite de 75,47 %.
Par spécialité, le tissage a enregistré un taux de réussite de 100 %, la couture 77,27 % et la coiffure dame 33,33 %.
Selon le président du jury 153, Yacouba Sermé, ces résultats sont satisfaisants au regard du contexte de travail.
« J’apprécie positivement ces résultats au regard des conditions de travail et de notre contexte ici à Tougan. Les candidats se sont donnés les moyens de réussir », a-t-il déclaré.
Il a, par ailleurs, invité les parents et les populations de la province à accorder davantage d’importance à la formation professionnelle et technique, qu’il considère comme un levier d’insertion socioprofessionnelle.
Pour le chef du service des examens et concours à la direction provinciale en charge de l’Enseignement secondaire et de la formation professionnelle et technique, Pierre Zan, le faible taux de réussite en coiffure dame s’explique probablement par le fait qu’il s’agit d’une nouvelle spécialité introduite dans la province.
Il a salué les efforts conjugués des formateurs et des encadreurs et félicité les admis en exhortant les candidats ajournés à la persévérance.
Agence d’information du Burkina
SS/no/yos",Éducation
"Burkina : La Journée africaine de lutte contre la corruption se tiendra le 9 juillet 2026, à Loumbila","Burkina-Commémoration-Journée-Lutte-Corruption
Burkina : La Journée africaine de lutte contre la corruption se tiendra le 9 juillet 2026, à Loumbila
Ouagadougou, 8 juil. 2026 (AIB) – Le Burkina Faso célèbrera la Journée africaine de lutte contre la corruption, le 9 juillet 2026, à l’Institut national de formation des personnels de l’éducation (INFPE) de Loumbila, a annoncé mercredi le contrôleur général d’Etat de l’Autorité supérieure de contrôle d’Etat et de Lutte contre la corruption (ASCE-LC), Lassané Compaoré.
Pour le contrôleur général d’Etat de l’Autorité supérieure de contrôle d’Etat et de Lutte contre la corruption (ASCE-LC), Lassané Compaoré, la corruption ne saurait plus être considérée comme un simple délit financier mais une menace directe contre la sécurité et la souveraineté du pays.
Dans le contexte des pays de la Confédération des États du Sahel, l’ASCE-LC a estimé que la corruption constitue désormais une menace directe contre les efforts de reconquête territoriale, de développement et de refondation de l’État, a-t-il dénoncé.
De son avis, chaque ressource détournée constitue une menace directe contre la sécurité et la souveraineté du pays, dans la mesure où chaque ressource détournée prive les Forces de défense et de sécurité, les Volontaires pour la défense de la patrie ainsi que les secteurs sociaux et les populations vulnérables de moyens essentiels à l’accomplissement de leur mission.
Le contrôleur général d’Etat, Lassané Compaoré, a animé mercredi une conférence de presse pour annoncer les grandes articulations de la commémoration de la Journée africaine de lutte contre la corruption.
Célébrée au plan continental le 11 juillet sous le thème : « Intensifier la promotion de l’intégrité et des actions anticorruptions à travers l’Afrique », cette journée intervient au Burkina Faso dans un contexte où les autorités nationales érigent la lutte contre la corruption en priorité nationale, au même titre que la reconquête du territoire et la refondation de l’Etat.
Selon l’institution, le thème de cette année met en évidence la nécessité d’aller au-delà des réformes institutionnelles afin de bâtir une véritable culture de redevabilité impliquant chaque citoyen, de la cellule familiale aux plus hautes responsabilités de l’État.
Placée sous le signe de la sobriété, cette édition 2026 se veut porteuse d’un message fort en faveur d’une gestion rigoureuse des deniers publics, a ajouté le premier responsable de l’ASCE-LC.
Le programme de la journée prévoit, outre la cérémonie officielle de Loumbila, des panels de réflexion et des cadres d’échanges directs entre les acteurs de la gouvernance et les populations, permettant d’aborder les mécanismes de prévention et de dénonciation de la corruption.
Les activités entrant dans le cadre de cette célébration se dérouleront autour de cinq axes majeurs : l’éducation à l’intégrité dès le bas âge, l’implication des autorités religieuses et coutumières, la valorisation des valeurs culturelles, le rôle de la famille dans la formation civique, ainsi que le recours aux outils numériques pour renforcer la transparence de la gestion publique.
M. Compaoré a, par ailleurs, salué les réformes engagées par les autorités burkinabè pour consolider la transparence et la bonne gouvernance, y voyant la traduction d’une volonté affirmée de restaurer la confiance des citoyens envers les institutions publiques.
Il a également rappelé l’appel du Président du Faso, le Capitaine Ibrahim Traoré, lancé le 6 juillet dernier à l’occasion du deuxième anniversaire de la Confédération des Etats du Sahel, invitant les peuples de l’espace confédéral à davantage d’unité, de travail et de production.
Une campagne de sensibilisation par SMS ainsi que la diffusion d’un message conjoint avec les acteurs de la lutte contre la corruption complètent le dispositif retenu pour cette édition.
Le contrôleur général a, enfin, invité les professionnels des médias à accompagner les actions de promotion de l’intégrité, les exhortant à contribuer, par leurs productions, à l’ancrage d’une culture de probité et de redevabilité au Burkina Faso.
Agence d’information du Burkina
DNK/yos",Société
"Balavé, 8 juil. 2026 (AIB) – Une cérémonie de sortie de masques a été organisée à Balavé le dimanche 5 juillet 2026 pour implorer les mânes des ancêtres pour la paix, la sécurité et pour une bonne pluviométrie dans la localité.","Banwa : Sortie de masques à Balavé pour implorer la paix, la sécurité et une bonne pluviométrie
Balavé, 8 juil. 2026 (AIB) – Une cérémonie de sortie de masques a été organisée à Balavé le dimanche 5 juillet 2026 pour implorer les mânes des ancêtres pour la paix, la sécurité et pour une bonne pluviométrie dans la localité.
Cette cérémonie a réuni les notables du village, les anciens, les coutumiers, les autorités administratives et la population de la commune de Balavé. Ce rituel de sortie de masques constitue le début de l’initiation d’une nouvelle génération de jeunes hommes qui entrent dans leur phase de l’âge adulte.
Cette tradition est transmise de génération en génération selon Baro Coulibaly représentant du chef coutumier. C’est un événement qui se déroule chaque 5 ans selon les dires de Baro Coulibaly. Il a indiqué que cette pratique est un héritage légué par les ancêtres et chaque masque présent à la cérémonie représente une famille dans le village.
Après l’entrée des masques au village, des aumônes d’animaux et de dolo rouge sont faits en faveur des ancêtres pour implorer une bonne pluviométrie, la paix, la sécurité, la cohésion sociale entre filles et fils du village et aussi confier le déroulement de la cérémonie d’initiation de la nouvelle génération aux ancêtres.
Le lendemain de l’entrée des masques au village est une grande fête pour les habitants. À cette occasion, une cérémonie de danse des masques se tient sur la place publique au grand bonheur des spectateurs.
Pour clore la cérémonie, les masques font le tour du village au son des tam-tams et des cris de joie tout en implorant des bénédictions et la protection du village.
Agence d’information du Burkina
AO/SO/wis",Culture
